abandoned adj.  1 deserted, forsaken. 2 unrestrained, profligate.
abc n.  1 the alphabet. 2 rudiments of a subject. 3 alphabetical guide.
ability n.  (pl. -ies) 1 (often foll. By to + infin.) Capacity or power. 2 cleverness, talent. [french: related to *able]
able adj.  (abler, ablest) 1 (often foll. By to + infin.; used esp. In is able, will be able, etc., replacing tenses of can) having the capacity or power (not able to come). 2 talented, clever.  ably adv. [latin habilis]
abortion n.  1 natural or (esp.) Induced expulsion of a foetus from the womb before it is able to survive independently. 2 stunted or deformed creature or thing. 3 failed project or action.  abortionist n.
absence n.  1 being away. 2 time of this. 3 (foll. By of) lack of.  absence of mind inattentiveness. [latin absentia]
academy n.  (pl. -ies) 1 place of specialized training (military academy). 2 (usu. Academy) society or institution of distinguished scholars, artists, scientists, etc. (royal academy). 3 scot. Secondary school. [greek akademeia the place in athens where plato taught]
accept v.  1 (also absol.) Willingly receive (a thing offered). 2 (also absol.) Answer affirmatively (an offer etc.). 3 regard favourably; treat as welcome (felt accepted). 4 believe, receive (an opinion, explanation, etc.) As adequate or valid. 5 take as suitable (does accept cheques). 6 undertake (an office or duty). [latin capio take]
accessory n.  (pl. -ies) 1 additional or extra thing. 2 (usu. In pl.) Small attachment, fitting, or subsidiary item of dress (e.g. Shoes, gloves). 3 (often foll. By to) person who abets or is privy to an (esp. Illegal) act. [medieval latin: related to *accede]
accident n.  1 unfortunate esp. Harmful event, caused unintentionally. 2 event that is unexpected or without apparent cause.  by accident unintentionally. [latin cado fall]
accuracy n.  Exactness or careful precision. [latin cura care]
accurate adj.  Careful, precise; conforming exactly with the truth or a standard.  accurately adv.
achieve v.  (-ving) 1 reach or attain, esp. By effort (achieved victory; achieved notoriety). 2 accomplish (a feat or task). [french achever: related to *chief]
acne n.  Skin condition with red pimples. [latin]
acoustic adj.  1 of sound or the sense of hearing. 2 (of a musical instrument etc.) Without electrical amplification (acoustic guitar).  acoustically adv. [greek akouo hear]
acquire v.  (-ring) gain for oneself; come into possession of. [latin: related to *ad-, quaero quisit- seek]
acre n.  Measure of land, 4,840 sq. Yds., 0.405 ha. [old english]
acrobat n.  Entertainer performing gymnastic feats.  acrobatic adj. Acrobatically adv. [greek akrobates from akron summit, baino walk]
action n.  1 process of doing or acting (demanded action). 2 forcefulness or energy. 3 exertion of energy or influence (action of acid on metal). 4 deed, act (not aware of his actions). 5 (the action) a series of events in a story, play, etc. B slang exciting activity (missed the action). 6 battle, fighting (killed in action). 7 a mechanism of an instrument. B style of movement of an animal or human. 8 lawsuit.  out of action not working. [latin: related to *act]
activity n.  (pl. -ies) 1 being active; busy or energetic action. 2 (often in pl.) Occupation or pursuit (outdoor activities). 3 = *radioactivity.
actor n.  Person who acts in a play, film, etc. [latin: related to *act]
actress n.  Female actor.
actual adj.  (usu. Attrib.) 1 existing in fact; real. 2 current. [latin: related to *act]
adam n.  The first man.  not know a person from adam be unable to recognize a person. [hebrew, = man]
adaptor n.  1 device for making equipment compatible. 2 device for connecting several electrical plugs to one socket.
add v.  1 join (one thing to another) as an increase or supplement. 2 put together (numbers) to find their total. 3 say further.  add in include. Add up 1 find the total of. 2 (foll. By to) amount to. 3 colloq. Make sense. [latin addo]
addition n.  1 adding. 2 person or thing added.  in addition (often foll. By to) also, as well (as). [latin: related to *add]
adequate adj.  Sufficient, satisfactory.  adequacy n. Adequately adv. [latin: related to *ad-, *equate]
adjacent adj.  (often foll. By to) lying near; adjoining.  adjacency n. [latin jaceo lie]
adjust v.  1 order or position; regulate; arrange. 2 (usu. Foll. By to) become or make suited; adapt. 3 harmonize (discrepancies). 4 assess (loss or damages).  adjustable adj. Adjustment n. [latin juxta near]
admin n.  Colloq. Administration. [abbreviation]
admission n.  1 acknowledgement (admission of error). 2 a process or right of entering. B charge for this (admission is £5).
admit v.  (-tt-) 1 (often foll. By to be, or that + clause) acknowledge; recognize as true. 2 (foll. By to) confess to (a deed, fault, etc.). 3 allow (a person) entrance, access, etc. 4 take (a patient) into hospital. 5 (of an enclosed space) accommodate. 6 (foll. By of) allow as possible. [latin mitto miss- send]
adobe n.  1 sun-dried brick. 2 clay for making these. [spanish]
adopt v.  1 legally take (a person) into a relationship, esp. Another's child as one's own. 2 choose (a course of action etc.). 3 take over (another's idea etc.). 4 choose as a candidate for office. 5 accept responsibility for the maintenance of (a road etc.). 6 accept or approve (a report, accounts, etc.).  adoption n. [latin: related to *ad-, *opt]
adverse adj.  Unfavourable; harmful.  adversely adv. [latin: related to *ad-, verto vers- turn]
advert n.  Colloq. Advertisement. [abbreviation]
advertise v.  (-sing) 1 promote (goods or services) publicly to increase sales. 2 make generally known. 3 (often foll. By for) seek by a notice in a newspaper etc. To buy, employ, sell, etc. [french avertir: related to *adverse]
advice n.  1 recommendation on how to act. 2 information given; news. 3 formal notice of a transaction.
advise v.  (-sing) 1 (also absol.) Give advice to. 2 recommend (advised me to rest). 3 (usu. Foll. By of, or that + clause) inform. [latin: related to *ad-, video vis- see]
advisory adj.  Giving advice (advisory body).
advocacy n.  Support or argument for a cause, policy, etc.
aerospace n.  1 earth's atmosphere and outer space. 2 aviation in this.
affair n.  1 matter, concern, or thing to be attended to (that is my affair). 2 a celebrated or notorious happening. B colloq. Thing or event (puzzling affair). 3 = *love affair. 4 (in pl.) Public or private business. [french à faire to do]
affect v.  1 a produce an effect on. B (of disease etc.) Attack. 2 move emotionally. 3 pretend (affected ignorance). 4 pose as or use for effect (affects the aesthete; affects fancy hats).  affecting adj. Affectingly adv. [latin afficio affect- influence]
affected adj.  1 pretended, artificial. 2 full of affectation.
afford v.  1 (prec. By can or be able to) a have enough money, time, etc., for; be able to spare. B be in a position (can't afford to be critical). 2 provide (affords a view of the sea). [old english ge- prefix implying completeness, *forth]
afternoon n.  Time from noon or lunch-time to evening.
aged adj.  1  (predic.) Of the age of (aged 3). 2  old.
agency n.  (pl. -ies) 1 business or premises of an agent. 2 action; intervention (free agency; by the agency of god). [latin: related to *act]
agenda n.  (pl. -s) 1 list of items to be considered at a meeting. 2 things to be done.
agent n.  1 a person who acts for another in business etc. B spy. 2 person or thing that exerts power or produces an effect.
agree v.  (-ees, -eed, -eeing) 1 hold the same opinion (i agree with you). 2 consent (agreed to go). 3 (often foll. By with) a become or be in harmony. B suit (fish didn't agree with him). C gram. Have the same number, gender, case, or person as. 4 reach agreement about (agreed a price). 5 (foll. By on) decide mutually on (agreed on a compromise).  be agreed be of one opinion. [latin: related to *ad-, gratus pleasing]
agreement n.  1 act or state of agreeing. 2 arrangement or contract.
aids n.  (also aids) acquired immune deficiency syndrome, an often fatal viral syndrome marked by severe loss of resistance to infection. [abbreviation]
aircraft n.  (pl. Same) machine capable of flight, esp. An aeroplane or helicopter.
airline n.  Public air transport system or company.
airplane n.  Us = *aeroplane.
airport n.  Airfield with facilities for passengers and goods.
album n.  1 book for photographs, stamps, etc. 2 a long-playing gramophone record. B set of these. [latin, = blank tablet, from albus white]
alcohol n.  1 (in full ethyl alcohol) colourless volatile inflammable liquid, esp. As the intoxicant in wine, beer, spirits, etc., and as a solvent, fuel, etc. 2 liquor containing this. 3 chem. Any of many organic compounds containing one or more hydroxyl groups attached to carbon atoms. [arabic: related to *kohl]
algebra n.  Branch of mathematics that uses letters etc. To represent numbers and quantities.  algebraic adj. [ultimately from arabic al-jabr, = reunion of broken parts]
algorithm n.  Process or set of rules used for calculation etc., esp. With a computer.  algorithmic adj. [persian, name of a 9th-c. Mathematician al-kuwarizmi]
align v.  1 put or bring into line. 2 (usu. Foll. By with) ally (oneself etc.) With (a cause, party, etc.).  alignment n. [french à ligne into line]
alive adj.  (usu. Predic.) 1 living. 2 lively, active. 3 (foll. By to) aware of; alert. 4 (foll. By with) swarming or teeming with. [old english: related to *a2, *life]
allah n.  The muslim and arab name of god. [arabic]
allergy n.  (pl. -ies) 1 adverse reaction to certain substances, esp. Particular foods, pollen, fur, or dust. 2 colloq. Antipathy. [greek allos other]
alliance n.  1 union or agreement to cooperate, esp. Of states by treaty or families by marriage. 2 (alliance) political coalition party. 3 relationship; friendship. [french: related to *ally]
allied adj.  1 (also allied) associated in an alliance. 2 connected or related.
allow v.  1 (often foll. By to + infin.) Permit. 2 assign a limited amount etc. (was allowed £500). 3 (usu. Foll. By for) provide or set aside for a purpose; add or deduct in consideration (allow £50 for expenses; allow for wastage). [originally = commend, from french: related to *ad-, latin laudo praise, loco place]
allowance n.  1 amount or sum allowed, esp. Regularly for a stated purpose. 2 amount allowed in reckoning. 3 deduction or discount.  make allowances (often foll. By for) 1 consider (mitigating circumstances). 2 make excuses for (a person, bad behaviour, etc.).
alpha n.  1 first letter of the greek alphabet (a, a). 2 first-class mark for a piece of work etc.  alpha and omega beginning and end. [latin from greek]
alter v.  Make or become different; change.  alteration n. [latin alter other]
alto n.  (pl. -s) 1 = *contralto. 2 a highest adult male singing-voice, above tenor. B singer with this voice. 3 instrument pitched second- or third-highest in its family. [italian alto (canto) high (singing)]
aluminium n.  (us aluminum) silvery light and malleable metallic element resistant to tarnishing by air.
aluminum n.  (brit. Aluminium) silvery light and malleable metallic element resistant to tarnishing by air.
amateur n.  Person who engages in a pursuit as a pastime rather than a profession, or performs with limited skill.  amateurish adj. Amateurism n. [latin amator lover: related to *amatory]
amazon n.  1 female warrior of a mythical race in the black sea area. 2 (amazon) large, strong, or athletic woman.  amazonian adj. [latin from greek]
ambient adj.  Surrounding.
amend v.  1 make minor alterations in to improve. 2 correct an error in (a document etc.). [latin: related to *emend]
amendment n.  Minor alteration or addition in a document, resolution, etc.
amplifier n.  Electronic device for increasing the strength of electrical signals, esp. For conversion into sound.
analog n.  (brit. Analogue) 1 analogous thing. 2 (attrib.) (usu. Analog) (of a computer etc.) Using physical variables, e.g. Voltage, to represent numbers (cf. *digital).
analysis n.  (pl. -lyses) 1 a detailed examination of elements or structure. B statement of the result of this. 2 chem. Determination of the constituent parts of a mixture or compound. 3 psychoanalysis. [greek ana up, luo loose]
analyst n.  1 person skilled in (esp. Chemical or computer) analysis. 2 psychoanalyst.
analyze n.  (brit. Analyse) 1 examine in detail; ascertain the constituents of (a substance, sentence, etc.). 2 psychoanalyse.
anatomy n.  (pl. -ies) 1 science of animal or plant structure. 2 such a structure. 3 analysis.  anatomical adj. Anatomist n. [greek ana- up, temno cut]
ancient adj.  1 of long ago, esp. Before the fall of the roman empire in the west. 2 having lived or existed long.  the ancients people of ancient times, esp. The greeks and romans. [latin ante before]
angel n.  1  a attendant or messenger of god. B representation of this in human form with wings. 2 virtuous or obliging person. 3 slang financial backer of a play etc. [greek aggelos messenger]
angle n.  (usu. In pl.) Member of a n. German tribe that settled in e. Britain in the 5th c. [latin anglus, from the name angul in germany]
angry adj.  (-ier, -iest) 1 feeling, showing, or suggesting anger (angry sky). 2 (of a wound etc.) Inflamed, painful.  angrily adv.
animated adj.  1 lively, vigorous. 2 having life. 3 (of a film etc.) Using animation.
animation n.  1 vivacity, ardour. 2 being alive. 3 technique of producing a moving picture from a sequence of drawings or puppet poses etc.
annex v.  1 (often foll. By to) add as a subordinate part. 2 incorporate (territory) into one's own. 3 add as a condition or consequence. 4 colloq. Take without right.  annexation n. [latin necto bind]
announce v.  (-cing) 1 make publicly known. 2 make known the arrival or imminence of (a guest, dinner, etc.). 3 be a sign of.  announcement n. [latin nuntius messenger]
anonymous adj.  1 of unknown name or authorship. 2 without character; featureless.  anonymity n. [greek an- without, onoma name]
ant n.  Small usu. Wingless insect living in complex social colonies and proverbial for industry. [old english]
antenna n.  1 (pl. -tennae) each of a pair of feelers on the heads of insects, crustaceans, etc. 2 (pl. -s) = *aerial n. [latin, = sail-yard]
antibody n.  (pl. -ies) a blood protein produced in response to and then counteracting antigens. [translation of german antikörper]
anxiety n.  (pl. -ies) 1 being anxious. 2 worry or concern. 3 eagerness, troubled desire. [latin anxietas from ango choke]
anybody n.  & pron. 1 any person. 2 person of importance (is he anybody?).
apache n.  Member of a n. American indian tribe. [mexican spanish]
apartment n.  1 (in pl.) Suite of rooms. 2 single room. 3 us flat. [italian a parte, apart]
apparatus n.  1 equipment for a particular function, esp. Scientific or technical. 2 political or other complex organization. [latin paro prepare]
apparel n.  Formal clothing, dress.  apparelled adj. [romanic, = make fit, from latin par equal]
apparent adj.  1 readily visible; obvious. 2 seeming.  apparently adv. [latin: related to *appear]
appear v.  1 become or be visible. 2 seem (appeared unwell). 3 present oneself publicly or formally. 4 be published. [latin appareo]
appendix n.  (pl. -dices) 1 tissue forming a tube-shaped sac attached to the large intestine. 2 addition to a book etc. [latin: related to *append]
apple n.  1 roundish firm fruit with crisp flesh. 2 tree bearing this.  apple of one's eye cherished person or thing. [old english]
appliance n.  Device etc. For a specific task. [related to *apply]
applicant n.  Person who applies for something, esp. A job.
applied adj.  Practical, not merely theoretical (applied science).
apply v.  (-ies, -ied) 1 (often foll. By for, to, or to + infin.) Formally request. 2 be relevant. 3 a make use of; employ (apply the rules; apply common sense). B operate (apply the brakes). 4 (often foll. By to) put or spread on. 5 refl. (often foll. By to) devote oneself. [latin applico fasten to]
appraisal n.  Appraising or being appraised.
approval n.  1 approving. 2 consent; favourable opinion.  on approval (of goods supplied) returnable if not satisfactory.
approve v.  (-ving) 1 confirm; sanction. 2 (often foll. By of) regard with favour. [latin probo test]
april n.  Fourth month of the year. [latin]
apt adj.  1 appropriate, suitable. 2 tending (apt to break down). 3 clever; quick to learn. [latin aptus fitted]
aqua n.  The colour aquamarine. [abbreviation]
aquarium n.  (pl. -s) tank of water for keeping and showing fish etc. [latin aquarius of water]
arbitrary adj.  1 random. 2 capricious; despotic.  arbitrarily adv.
arbor n.  (brit. Arbour) shady garden alcove enclosed by trees etc. [latin herba herb: assimilated to latin arbor tree]
arcade n.  1 covered walk, esp. Lined with shops. 2 series of arches supporting or set along a wall. [romanic: related to *arc]
architect n.  1 designer of buildings etc., supervising their construction. 2 (foll. By of) person who brings about a specified thing (architect of peace). [greek arkhi- chief, tekton builder]
area n.  1 extent or measure of a surface (over a large area). 2 region (southern area). 3 space for a specific purpose (dining area). 4 scope or range. 5 space in front of the basement of a building. [latin, = vacant space]
arena n.  1 central part of an amphitheatre etc. 2 scene of conflict; sphere of action. [latin, = sand]
argue v.  (-ues, -ued, -uing) 1 (often foll. By with, about, etc.) Exchange views forcefully or contentiously. 2 (often foll. By that) maintain by reasoning; indicate. 3 (foll.
argument n.  1 (esp. Contentious) exchange of views; dispute. 2 (often foll. By for, against) reason given; reasoning process. 3 summary of a book etc.
arise v.  (-sing; past arose; past part. Arisen) 1 originate. 2 (usu. Foll. By from, out of) result. 3 come to one's notice; emerge. 4 rise, esp. From the dead or from kneeling. [old english a- intensive prefix]
